key,scientificName,acceptedScientificName,taxonRank,infraspecificEpithet,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,eventDate,year,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,stateProvince,county,locality,issues,datasetKey,publishingOrgKey,license
6511184503,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-10.122558,-61.902792,,2015-11-30T00:00,2015.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,19637,Renata Bocorny De Azevedo,Rondônia,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6511243684,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-9.4735,-61.6665,,2015-11-30T00:00,2015.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,19637,Renata Bocorny De Azevedo,Rondônia,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6510673610,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-3.401333,-64.899639,,2014-08-02T00:00,2014.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,5310,Marcos De Souza Fialho,Amazonas,,,"['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6511314770,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-1.846111,-69.024722,,2014-09-01T00:00,2014.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,10188,JEAN PHILIPPE BOUBLI,Amazonas,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6510328336,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-9.402028,-65.077028,,2014-11-18T00:00,2014.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,17416,Gerson Buss,Rondônia,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6511158011,"Lagothrix lagothricha (Humboldt, 1812)","Lagothrix lagothricha (Humboldt, 1812)",SPECIES,,-21.263781,-48.322678,,2013-04-02T00:00,2013.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,8664,ELIANE DE SOUSA,São Paulo,,,"['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6510479472,"Lagothrix lagothricha (Humboldt, 1812)","Lagothrix lagothricha (Humboldt, 1812)",SPECIES,,-23.651944,-46.617778,,2013-05-02T00:00,2013.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,15944,Karin Kirchgatter,São Paulo,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6510177625,"Lagothrix lagothricha (Humboldt, 1812)","Lagothrix lagothricha (Humboldt, 1812)",SPECIES,,-26.73885,-49.178933,,2012-02-20T00:00,2012.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,10990,Daniela Pedrassani,Santa Catarina,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6510128870,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-13.4989,-60.286289,,2012-05-07T00:00,2012.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,10729,Mariluce Rezende Messias,Mato Grosso,,,"['CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
6510994417,"Lagothrix cana (É.Geoffroy Saint-Hilaire, 1812)","Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",SPECIES,,-13.528472,-60.434417,,2012-05-08T00:00,2012.0,HUMAN_OBSERVATION,ICMBio,Dados de Pesquisa SISBio,6818,Mariluce Rezende Messias,Mato Grosso,,,"['GEODETIC_DATUM_INVALID', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'SCIENTIFIC_NAME_ID_NOT_FOUND', 'TAXON_ID_NOT_FOUND', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']",ffe38a37-d659-4b1a-a935-5a5264e3cc0a,25be1cbb-af76-44ea-8ff3-074799790dce,http://creativecommons.org/licenses/by/4.0/legalcode
